"","block","trialType","trial","signal","response","ssd","rt"
"130",4,"testBlocks",51,1,0,0.575,NA
"131",4,"testBlocks",52,0,1,NA,0.829259418998845
"132",4,"testBlocks",53,0,1,NA,0.787050471990369
"133",4,"testBlocks",54,0,1,NA,0.787058571993839
"134",4,"testBlocks",55,0,1,NA,0.813288785982877
"135",4,"testBlocks",56,0,1,NA,0.779263927019201
"136",4,"testBlocks",57,1,1,0.6,0.783176442026161
"137",4,"testBlocks",58,0,1,NA,0.78865763702197
"138",4,"testBlocks",59,0,1,NA,0.790185131016187
"139",4,"testBlocks",60,0,1,NA,0.791108583012829
"140",4,"testBlocks",61,0,1,NA,0.812183397996705
"141",4,"testBlocks",62,0,1,NA,0.810121817019535
"142",4,"testBlocks",63,0,1,NA,0.778087540005799
"143",4,"testBlocks",64,1,0,0.575,NA
"144",5,"testBlocks",1,0,1,NA,0.797287246998167
"145",5,"testBlocks",2,0,1,NA,0.919707800989272
"146",5,"testBlocks",3,0,1,NA,0.747679348016391
"147",5,"testBlocks",4,0,1,NA,0.792822440009331
"148",5,"testBlocks",5,0,1,NA,0.770003502984764
"149",5,"testBlocks",6,0,1,NA,0.785008250997635
"150",5,"testBlocks",7,1,1,0.6,0.775598115986213
"151",5,"testBlocks",8,1,0,0.575,NA
"152",5,"testBlocks",9,0,1,NA,0.847685083979741
"153",5,"testBlocks",10,1,1,0.6,0.783707140013576
"154",5,"testBlocks",11,0,1,NA,0.808470411982853
"155",5,"testBlocks",12,0,1,NA,0.813557354995282
"156",5,"testBlocks",13,0,1,NA,0.803957154013915
"157",5,"testBlocks",14,1,0,0.575,NA
"158",5,"testBlocks",15,0,1,NA,0.803270841977792
"159",5,"testBlocks",16,0,1,NA,0.82344264499261
"160",5,"testBlocks",17,0,1,NA,0.782332250993932
"161",5,"testBlocks",18,0,1,NA,0.7839122779842
"162",5,"testBlocks",19,0,1,NA,0.767344905994833
"163",5,"testBlocks",20,0,1,NA,0.786368007014971
"164",5,"testBlocks",21,0,1,NA,0.820097048999742
"165",5,"testBlocks",22,0,1,NA,0.788382439990528
"166",5,"testBlocks",23,0,1,NA,0.811078186990926
"167",5,"testBlocks",24,1,1,0.6,0.995429014990805
"168",5,"testBlocks",25,0,1,NA,0.780359632015461
"169",5,"testBlocks",26,0,1,NA,0.812166313000489
"170",5,"testBlocks",27,0,1,NA,0.81889681800385
"171",5,"testBlocks",28,1,1,0.575,0.770435108977836
"172",5,"testBlocks",29,0,1,NA,0.806864373007556
"173",5,"testBlocks",30,0,1,NA,0.81520788097987
"174",5,"testBlocks",31,1,0,0.55,NA
"175",5,"testBlocks",32,1,0,0.575,NA
"176",5,"testBlocks",33,1,1,0.6,0.813028675998794
"177",5,"testBlocks",34,0,1,NA,0.826287186006084
"178",5,"testBlocks",35,1,0,0.575,NA
"179",5,"testBlocks",36,0,1,NA,0.788069289003033
"180",5,"testBlocks",37,0,1,NA,0.763425484998152
"181",5,"testBlocks",38,0,1,NA,0.857534294016659
"182",5,"testBlocks",39,0,1,NA,0.810575078998227
"183",5,"testBlocks",40,0,1,NA,0.767502492992207
"184",5,"testBlocks",41,0,1,NA,0.797689189988887
"185",5,"testBlocks",42,1,1,0.6,0.791077611007495
"186",5,"testBlocks",43,1,0,0.575,NA
"187",5,"testBlocks",44,0,1,NA,0.790192827000283
"188",5,"testBlocks",45,1,1,0.6,0.794715492986143
"189",5,"testBlocks",46,0,1,NA,0.804333489999408
"190",5,"testBlocks",47,0,1,NA,0.811012779013254
"191",5,"testBlocks",48,1,1,0.575,0.804350063001039
"192",5,"testBlocks",49,0,1,NA,0.784676677983953
"193",5,"testBlocks",50,0,1,NA,0.823806720989523
"194",5,"testBlocks",51,0,1,NA,0.782682846998796
"195",5,"testBlocks",52,0,1,NA,0.821389874996385
"196",5,"testBlocks",53,0,1,NA,0.787366422009654
"197",5,"testBlocks",54,0,1,NA,0.774596448987722
"198",5,"testBlocks",55,0,1,NA,0.803565649985103
"199",5,"testBlocks",56,0,1,NA,0.78114111701143
"200",5,"testBlocks",57,1,0,0.55,NA
"201",5,"testBlocks",58,0,1,NA,0.798997193021933
"202",5,"testBlocks",59,0,1,NA,0.781041959009599
"203",5,"testBlocks",60,0,1,NA,0.787045731995022
"204",5,"testBlocks",61,0,1,NA,0.771118948003277
"205",5,"testBlocks",62,1,0,0.575,NA
"206",5,"testBlocks",63,0,1,NA,0.823180642997613
"207",5,"testBlocks",64,0,1,NA,0.800804623984732
